Bal,Low Vre,Solar,Wind
14.77,18.6138984,15.36934247,14.29414155
14.44,19.4138984,15.88934247,14.42414155
16.6,20.4738984,20.69934247,16.33414155
21.53,28.0838984,34.72934247,20.98414155
22.45,30.5538984,37.17934247,22.59414155
19.78,30.6438984,21.16934247,21.60414155
17.76,30.2738984,17.58934247,20.90414155
17.95,30.8138984,18.56934247,21.79414155
20.48,30.4738984,20.67934247,20.88414155
21.06,30.3238984,32.59934247,22.12414155
21.39,29.6138984,33.75934247,21.81414155
20.3,29.0338984,20.80934247,20.76414155
20.54,28.8038984,24.18934247,20.23414155
22.21,30.0638984,35.00934247,21.81414155
24.85,32.3338984,37.43934247,23.81414155
37.58,32.9538984,42.47934247,23.74414155
41.43,32.6838984,42.83934247,25.47414155
37.04,30.4238984,42.16934247,24.20414155
24.16,29.0338984,40.48934247,23.74414155
19.89,23.9438984,31.21934247,19.47414155
18.84,22.2038984,21.48934247,18.42414155
17.48,20.4638984,20.11934247,17.05414155
16.19,19.4138984,24.88934247,15.77414155
16.58,19.4138984,28.52934247,16.14414155
20.03,19.0738984,28.50934247,16.11414155
28.46,19.4638984,30.58934247,19.84414155
28.81,19.1738984,31.19934247,27.97414155
34,21.0638984,33.64934247,32.64414155
36.15,23.0138984,35.67934247,35.83414155
30.21,24.0638984,29.54934247,31.65414155
16.75,24.6738984,16.23934247,20.77414155
27.72,25.2338984,19.81934247,29.31414155
26.38,24.7338984,1.339342466,28.97414155
26.38,24.1738984,1.309342466,29.52414155
27.23,23.7338984,1.249342466,28.62414155
19.59,22.8938984,1.669342466,27.00414155
28.74,22.8838984,25.68934247,30.82414155
35.76,23.7838984,36.94934247,35.36414155
37.93,26.0538984,38.00934247,37.59414155
38.39,30.4038984,38.10934247,37.73414155
38.28,29.8938984,37.79934247,37.15414155
35.57,27.0538984,37.47934247,32.61414155
31.25,25.4038984,35.07934247,19.74414155
17.72,23.7838984,29.47934247,18.29414155
15.28,21.9038984,18.99934247,15.01414155
17.07,20.5538984,19.39934247,16.65414155
16.53,19.4238984,15.87934247,16.13414155
14.22,18.7438984,13.88934247,13.31414155
13.27,18.5338984,12.96934247,13.88414155
14.3,18.4038984,12.96934247,13.05414155
16.12,19.2738984,16.03934247,15.61414155
17.49,20.4238984,17.35934247,16.78414155
19.19,21.7638984,21.93934247,17.31414155
17.49,22.5938984,16.65934247,14.46414155
13.54,23.7438984,13.14934247,13.40414155
16.33,23.7938984,16.23934247,16.26414155
16.87,23.2438984,18.10934247,15.70414155
18.77,22.7638984,18.55934247,16.09414155
18.79,22.6538984,18.10934247,16.95414155
16.42,22.4938984,17.33934247,13.21414155
17.83,22.3438984,17.33934247,16.90414155
20.98,22.6938984,31.15934247,18.84414155
22.23,24.6838984,34.56934247,21.15414155
23.86,28.1738984,34.47934247,22.28414155
21.3,27.0738984,34.48934247,22.28414155
20.77,24.9038984,33.96934247,25.56414155
20.03,23.5638984,31.80934247,21.43414155
18.46,22.4838984,28.11934247,18.18414155
15.21,19.8438984,16.83934247,14.78414155
14.54,18.8438984,13.90934247,14.18414155
14.41,18.5638984,13.73934247,13.80414155
11.64,18.6138984,11.57934247,7.024141553
14.56,18.9038984,16.86934247,5.724141553
16.24,18.9738984,18.92934247,13.31414155
18.3,21.8338984,29.64934247,17.18414155
27.12,27.1438984,38.55934247,18.80414155
36.06,30.6638984,42.01934247,24.32414155
19.13,31.2338984,25.81934247,21.14414155
16.06,32.2738984,15.33934247,15.70414155
15.59,32.1638984,15.15934247,19.58414155
15.47,31.2338984,13.36934247,19.12414155
16.03,31.4438984,14.52934247,15.96414155
15.88,30.5438984,15.15934247,16.22414155
16.36,30.5638984,15.75934247,20.99414155
21.95,30.7938984,17.82934247,22.19414155
38.5,31.5138984,42.73934247,25.89414155
44.59,35.3738984,45.23934247,29.66414155
40.67,35.9638984,41.01934247,25.31414155
39.84,34.7738984,41.01934247,26.66414155
38.29,32.6238984,40.44934247,25.19414155
35.18,30.3838984,37.39934247,23.04414155
21.4,23.4938984,31.96934247,18.51414155
18.4,20.6438984,28.37934247,18.47414155
16.9,18.7338984,18.35934247,14.46414155
14.27,18.8138984,15.06934247,13.88414155
14.49,18.2438984,15.23934247,14.16414155
15.08,18.2438984,17.94934247,14.71414155
15.91,19.3938984,23.95934247,15.49414155
17.66,21.2538984,30.36934247,17.24414155
24.11,28.5338984,35.19934247,20.17414155
26.61,34.7238984,37.76934247,21.65414155
21.19,34.5438984,19.57934247,20.80414155
16.24,34.5438984,15.63934247,18.84414155
17.1,34.2538984,16.48934247,18.98414155
19.56,34.0738984,14.79934247,19.21414155
19.79,32.8238984,15.02934247,19.38414155
20.08,32.2338984,15.02934247,19.52414155
19.49,31.3738984,15.34934247,19.74414155
20.39,30.7438984,19.34934247,20.82414155
27.81,32.9738984,37.76934247,22.58414155
37.75,36.4138984,43.51934247,26.23414155
37.96,37.8938984,43.44934247,26.03414155
40.34,37.2538984,41.80934247,24.26414155
26.81,34.3738984,37.96934247,23.31414155
33.16,30.6038984,39.60934247,22.18414155
31.68,24.1238984,34.90934247,18.31414155
26.89,21.7638984,31.42934247,16.10414155
25.22,19.5938984,29.44934247,14.71414155
24.62,18.9438984,28.38934247,14.47414155
24.31,19.3938984,27.43934247,13.92414155
24.36,19.0138984,24.88934247,14.14414155
25.64,19.4138984,28.83934247,15.35414155
29.33,22.0738984,33.10934247,31.16414155
35.86,28.0538984,37.52934247,31.14414155
40.09,34.2938984,40.76934247,35.40414155
35.08,35.1438984,36.23934247,22.03414155
22.41,34.2538984,21.77934247,22.28414155
22,33.3538984,23.18934247,21.65414155
21.95,33.3138984,33.73934247,21.53414155
22.79,32.7538984,26.19934247,22.49414155
23.55,32.2538984,26.89934247,23.36414155
23.48,31.4938984,27.50934247,23.41414155
23.47,31.4838984,37.46934247,23.38414155
23.52,33.9438984,38.23934247,23.18414155
26.52,37.3738984,41.68934247,26.28414155
28,38.2338984,42.18934247,26.98414155
26.48,38.4138984,41.90934247,26.52414155
26.55,37.1838984,41.44934247,26.07414155
23.43,32.0438984,40.19934247,24.82414155
20.43,24.4938984,32.72934247,22.26414155
18.41,21.8338984,21.00934247,18.01414155
16.8,20.5538984,20.20934247,16.80414155
16.64,19.4138984,19.02934247,5.834141553
5.62,18.7338984,16.20934247,7.294141553
5.62,18.6938984,17.64934247,7.294141553
13.74,18.9438984,19.79934247,13.32414155
18.68,21.9938984,25.93934247,14.91414155
36.01,27.6038984,36.60934247,20.78414155
36.59,33.2238984,40.43934247,22.44414155
20.09,32.2438984,26.03934247,21.72414155
15.86,32.0638984,15.62934247,19.91414155
18.78,32.2438984,18.67934247,19.51414155
18.92,30.8138984,18.70934247,19.44414155
17.63,30.6338984,14.97934247,19.36414155
14.87,30.5538984,14.28934247,18.94414155
14.35,30.0538984,13.78934247,18.39414155
27.71,30.1138984,23.68934247,19.03414155
36.79,30.8238984,38.76934247,33.77414155
42.1,34.8338984,43.28934247,38.73414155
44.03,35.7638984,45.01934247,39.87414155
42.4,35.2138984,43.69934247,38.69414155
41.4,32.4738984,43.12934247,37.71414155
39.92,30.2438984,41.36934247,38.62414155
35.28,23.7038984,36.84934247,31.29414155
27.83,21.9838984,32.40934247,17.61414155
26.94,19.4138984,31.21934247,15.49414155
25.59,20.4738984,29.70934247,20.57414155
25.51,20.2138984,29.56934247,21.24414155
26.57,19.4138984,30.86934247,21.60414155
29.05,19.4138984,33.47934247,23.48414155
33.26,22.3438984,35.27934247,26.37414155
40.72,28.6738984,41.04934247,37.74414155
42.88,34.3638984,44.92934247,42.04414155
37.68,33.6438984,36.95934247,39.15414155
30.45,33.2238984,27.71934247,34.53414155
32.2,33.7138984,23.61934247,35.56414155
28.36,33.6538984,25.05934247,37.24414155
27.2,31.2338984,15.23934247,35.09414155
28.45,31.0038984,16.06934247,35.42414155
28.3,30.6238984,15.92934247,36.41414155
38.24,30.3538984,36.20934247,38.45414155
40.97,31.0338984,41.13934247,40.38414155
44.91,36.1138984,45.99934247,44.46414155
44.57,37.9338984,46.36934247,43.66414155
43.28,36.0138984,46.69934247,44.37414155
43.04,34.5938984,44.75934247,42.83414155
42.22,32.5638984,43.47934247,40.67414155
32.47,26.1738984,36.54934247,22.20414155
32.06,22.9038984,33.54934247,19.54414155
26.49,20.7638984,30.34934247,17.24414155
26.93,19.5938984,30.30934247,17.32414155
24.84,18.8138984,28.06934247,16.00414155
25.15,19.0138984,27.96934247,16.23414155
25.96,18.6938984,28.06934247,18.09414155
21.68,19.4838984,29.70934247,18.86414155
22.56,21.1938984,30.77934247,19.50414155
23.63,23.6038984,32.11934247,20.15414155
17,24.4938984,16.60934247,17.78414155
16.9,25.6038984,15.66934247,16.54414155
16.58,26.2638984,1.669342466,16.47414155
15.16,26.1338984,1.299342466,15.34414155
14.52,24.1138984,1.299342466,14.37414155
13.54,22.6338984,5.889342466,15.51414155
15.37,22.0438984,12.52934247,15.06414155
16.1,21.8338984,18.80934247,15.50414155
20.92,22.3738984,31.27934247,19.39414155
33.04,23.8838984,34.65934247,21.47414155
24.62,28.0538984,34.66934247,23.60414155
24.92,28.5038984,34.49934247,22.88414155
24.29,25.8938984,34.22934247,22.31414155
20.37,23.7638984,32.65934247,20.74414155
18.54,22.5438984,30.64934247,19.22414155
16.56,20.9938984,19.19934247,16.23414155
14.92,19.4838984,14.25934247,14.50414155
14.08,18.6138984,13.24934247,13.60414155
13.49,18.2138984,12.84934247,12.97414155
14.91,17.9838984,14.36934247,14.54414155
15,18.1038984,14.70934247,14.65414155
15.19,18.6938984,15.02934247,14.76414155
15.88,19.5838984,16.33934247,15.40414155
17.22,21.4938984,20.95934247,16.59414155
16.35,22.4238984,16.65934247,14.43414155
17.31,22.8938984,17.36934247,15.66414155
17.94,23.0238984,18.23934247,16.57414155
16.43,22.9938984,20.30934247,16.76414155
16.87,23.0638984,25.94934247,15.31414155
18.4,22.9138984,28.34934247,18.03414155
17.5,22.7538984,19.03934247,18.28414155
17.25,22.8938984,19.83934247,16.97414155
19.53,24.1138984,31.39934247,19.17414155
31.81,28.1138984,34.14934247,21.36414155
21.37,29.9738984,33.78934247,22.17414155
32.63,29.6938984,34.66934247,21.49414155
21.23,28.4938984,33.77934247,21.57414155
20.03,26.1338984,33.54934247,21.63414155
18.68,23.6138984,31.60934247,18.24414155
16.79,22.1438984,23.67934247,16.20414155
15.43,19.7038984,17.31934247,14.65414155
15.07,19.2338984,16.85934247,14.41414155
15.09,18.9438984,17.06934247,14.51414155
16.6,19.2838984,25.67934247,14.29414155
17.34,19.7638984,26.79934247,16.37414155
18.67,22.5538984,31.42934247,18.23414155
33.99,30.6438984,40.80934247,21.39414155
41.61,34.7738984,43.76934247,39.02414155
37.22,35.1738984,36.76934247,35.65414155
19.13,36.3138984,18.95934247,19.95414155
20.15,36.4038984,7.509342466,19.91414155
21,36.0238984,6.879342466,20.94414155
19.32,35.2638984,7.509342466,20.34414155
20.03,34.6238984,18.68934247,20.84414155
19.48,33.1838984,18.98934247,23.90414155
22.44,32.3138984,18.68934247,23.01414155
40.77,33.0238984,41.59934247,27.37414155
44.32,37.6238984,44.35934247,40.79414155
43.67,38.7938984,44.72934247,26.07414155
37.23,37.9138984,40.30934247,24.07414155
27.87,36.1338984,38.86934247,24.49414155
25.47,33.0338984,38.57934247,23.59414155
20.03,26.4838984,32.34934247,20.44414155
17,22.9338984,29.15934247,18.84414155
16.12,21.5138984,25.24934247,15.76414155
15.62,20.7438984,23.21934247,15.58414155
15.56,20.0538984,22.53934247,15.54414155
15.82,20.8238984,23.13934247,15.72414155
16.53,21.7038984,27.15934247,16.80414155
20.21,25.7138984,32.25934247,19.00414155
25.48,34.6738984,36.68934247,21.82414155
29.24,41.0138984,41.03934247,26.99414155
22.8,41.0738984,22.22934247,22.88414155
19.76,39.4638984,9.409342466,20.81414155
19.13,38.4038984,18.10934247,20.96414155
19.27,37.5838984,18.68934247,20.81414155
18.47,37.1138984,17.63934247,19.36414155
19.04,36.5338984,30.98934247,20.96414155
36.51,35.6438984,37.58934247,22.60414155
41.03,35.6438984,40.76934247,37.05414155
45.42,38.1638984,46.80934247,44.67414155
52.93,41.2438984,54.25934247,52.15414155
56.09,44.4938984,57.46934247,55.67414155
54.62,44.2938984,56.44934247,53.11414155
50.9,42.0738984,52.35934247,49.87414155
44.44,40.0438984,46.36934247,42.84414155
37.16,33.2638984,37.98934247,34.89414155
33.57,26.6538984,34.39934247,32.19414155
31.98,23.8538984,32.33934247,19.02414155
18.18,23.4438984,29.10934247,16.88414155
16.14,22.3438984,24.95934247,15.55414155
16.29,22.0938984,23.92934247,15.33414155
16.86,23.0238984,26.22934247,15.97414155
18.83,26.9638984,31.97934247,18.20414155
24.25,34.8938984,36.41934247,20.27414155
28.55,40.7538984,41.60934247,27.29414155
22.3,41.0138984,21.57934247,23.77414155
20.16,39.9538984,18.49934247,20.53414155
20.17,38.4138984,19.45934247,20.43414155
20.96,37.6638984,20.37934247,21.63414155
20.3,37.0238984,19.51934247,21.04414155
20.09,35.5138984,19.59934247,20.93414155
20.09,34.2538984,19.30934247,20.86414155
21.36,34.3938984,33.56934247,22.88414155
28.1,37.0838984,41.56934247,24.26414155
41.15,40.1738984,45.98934247,27.07414155
46.85,41.0438984,47.84934247,27.41414155
48.32,42.0638984,50.16934247,42.46414155
47.31,40.4838984,49.28934247,39.15414155
44.22,38.8038984,46.37934247,25.91414155
39.11,31.7538984,40.48934247,23.97414155
34.52,24.3938984,35.93934247,20.29414155
32.12,23.1838984,33.69934247,19.00414155
30.5,22.5338984,34.14934247,18.13414155
32.43,21.9638984,33.59934247,24.17414155
33.7,22.6038984,33.83934247,32.36414155
35.24,23.1138984,35.04934247,33.81414155
37.26,26.6538984,37.02934247,37.13414155
43.6,35.7838984,43.42934247,43.32414155
52.25,42.0138984,51.86934247,51.72414155
46.2,41.1438984,44.66934247,46.41414155
37.84,39.8038984,20.61934247,42.80414155
35.33,38.2438984,19.73934247,42.78414155
30.89,36.9538984,18.12934247,40.42414155
31.44,36.3738984,17.91934247,40.34414155
32.38,35.8138984,18.12934247,40.79414155
37.73,35.0638984,30.55934247,41.09414155
40.93,34.8538984,40.01934247,41.97414155
46.12,36.7638984,46.26934247,46.36414155
51.31,40.5438984,52.24934247,50.11414155
52.51,41.9938984,53.20934247,48.31414155
48.55,40.0738984,49.23934247,44.17414155
46.25,40.8738984,48.90934247,40.30414155
45.14,38.6538984,47.84934247,39.50414155
38.43,32.6438984,38.88934247,22.07414155
31.96,24.9638984,34.10934247,19.73414155
22.38,23.6738984,32.56934247,18.98414155
28.18,22.6038984,31.62934247,17.34414155
31.17,22.3038984,34.03934247,17.48414155
31.7,22.3138984,33.81934247,17.33414155
34.32,23.1238984,35.21934247,22.15414155
36.36,26.1438984,37.22934247,33.78414155
43.08,32.9238984,43.75934247,41.67414155
48.49,39.7438984,49.02934247,46.33414155
44.08,41.2638984,44.02934247,43.08414155
41.66,39.4538984,40.76934247,40.88414155
40.79,40.0738984,40.92934247,39.82414155
40.87,40.6538984,40.50934247,39.86414155
41.19,39.6638984,41.07934247,40.78414155
42.15,39.6038984,41.67934247,41.83414155
41.74,38.4138984,41.00934247,41.49414155
40.82,37.3538984,41.10934247,40.71414155
44.98,37.7438984,43.97934247,43.45414155
48.64,39.3938984,49.27934247,46.58414155
51.05,42.0538984,52.90934247,47.99414155
47.63,40.9838984,49.97934247,45.67414155
45.18,39.3838984,46.38934247,44.04414155
43.01,36.9538984,43.78934247,35.72414155
35.48,30.1938984,37.06934247,30.66414155
33.35,24.1738984,36.29934247,19.36414155
27.62,22.4438984,33.77934247,18.06414155
27.52,21.4438984,31.37934247,17.34414155
28.24,21.0238984,31.31934247,18.05414155
20.44,21.5438984,31.13934247,17.61414155
21.06,20.7238984,31.13934247,17.86414155
29.87,21.7838984,31.66934247,18.77414155
33.88,23.3038984,33.37934247,32.15414155
34.05,24.7738984,34.25934247,23.79414155
20.48,27.2938984,18.30934247,20.55414155
18.92,30.1338984,16.75934247,19.01414155
17.07,30.1238984,15.71934247,20.43414155
17.19,27.9138984,15.42934247,18.48414155
18.11,25.9138984,14.44934247,19.15414155
14.14,24.3038984,13.26934247,16.63414155
16.3,23.6538984,12.69934247,16.60414155
17.03,23.1638984,16.82934247,17.69414155
19.2,23.7038984,22.18934247,18.81414155
32.9,28.4038984,34.49934247,21.77414155
34.21,32.9238984,35.78934247,22.30414155
24.59,32.8438984,35.12934247,22.32414155
33.33,30.7438984,34.85934247,21.59414155
34.03,28.1438984,34.48934247,21.33414155
33.03,24.4738984,34.13934247,20.39414155
28.41,22.8838984,31.85934247,19.75414155
17.4,21.7538984,28.62934247,16.30414155
16.3,21.8138984,28.07934247,17.01414155
15.83,20.5838984,27.26934247,16.35414155
16.05,20.5538984,26.59934247,16.37414155
17.71,20.7238984,25.02934247,17.08414155
18.39,21.2938984,27.78934247,17.48414155
21.88,22.1238984,31.29934247,19.78414155
31.62,24.5938984,32.95934247,20.71414155
20.29,26.1338984,19.92934247,19.19414155
19.48,26.6138984,18.52934247,19.82414155
19.63,25.9038984,17.88934247,19.26414155
19.21,24.5838984,17.12934247,19.74414155
19.25,23.8738984,17.73934247,19.74414155
19.13,23.0638984,18.84934247,19.17414155
18.29,23.0138984,17.93934247,18.92414155
18.48,23.0638984,18.45934247,18.78414155
20.91,24.0038984,31.65934247,19.74414155
24.21,29.6638984,34.36934247,21.24414155
34.01,34.2138984,35.12934247,22.28414155
33.34,34.1538984,34.69934247,22.67414155
23.52,32.5338984,34.41934247,22.24414155
23.29,28.0538984,34.44934247,21.48414155
22.16,24.3738984,33.48934247,20.71414155
20.44,22.6638984,30.93934247,19.01414155
19.37,21.5138984,28.61934247,16.34414155
17.32,21.3438984,28.59934247,16.26414155
19.49,20.4738984,25.95934247,16.30414155
27.48,20.2938984,28.72934247,16.41414155
29.58,20.7238984,33.46934247,16.86414155
35.71,22.9738984,36.07934247,20.76414155
44.58,34.3238984,44.85934247,41.86414155
49.16,38.5538984,48.79934247,48.51414155
46.71,40.2738984,45.76934247,46.02414155
39.74,40.1538984,37.82934247,42.00414155
38.97,40.1538984,36.02934247,43.83414155
38.27,39.9738984,32.30934247,42.14414155
36.36,39.4138984,34.74934247,39.75414155
34.3,37.5838984,31.57934247,38.59414155
34.81,36.3838984,26.20934247,38.49414155
38.71,35.3038984,37.17934247,38.91414155
43.2,37.0838984,43.78934247,41.31414155
44.71,40.3338984,47.87934247,43.20414155
46.52,40.5438984,48.86934247,45.03414155
44.92,38.4138984,46.19934247,43.54414155
42.04,35.9538984,43.78934247,41.07414155
41.92,32.2038984,43.65934247,40.86414155
34.79,23.9738984,35.98934247,31.16414155
29.07,22.0938984,32.53934247,27.32414155
27.38,20.6338984,31.29934247,24.46414155
26.07,19.4138984,29.64934247,18.63414155
26.87,18.8138984,28.11934247,14.21414155
15.04,18.3938984,26.09934247,13.88414155
15.3,19.4138984,23.60934247,14.43414155
17.35,21.6938984,30.34934247,16.78414155
23.17,28.0638984,36.80934247,19.45414155
25.95,31.8838984,38.55934247,21.87414155
18.68,30.7438984,19.08934247,18.98414155
15.76,30.0838984,16.01934247,20.84414155
14.79,30.1238984,8.599342466,19.92414155
14.79,30.1538984,8.549342466,19.97414155
14.77,29.9738984,13.78934247,28.27414155
14.89,29.9738984,13.78934247,28.69414155
14.87,29.9738984,14.04934247,28.68414155
19.73,29.9738984,19.95934247,25.26414155
37.59,30.4538984,37.51934247,33.62414155
35.21,32.9538984,43.49934247,25.70414155
28.28,35.4138984,41.65934247,26.03414155
27.25,33.5638984,38.97934247,24.46414155
25.02,31.0438984,38.46934247,23.95414155
22.41,29.9838984,35.93934247,22.09414155
18.42,23.2138984,28.84934247,20.18414155
16.76,21.7838984,24.27934247,16.43414155
13.62,20.6338984,16.18934247,13.43414155
12.99,20.2138984,15.67934247,12.79414155
14.56,19.4138984,16.68934247,13.70414155
14.65,18.9438984,14.30934247,14.34414155
15.59,19.8838984,17.95934247,14.71414155
16.62,21.8338984,25.63934247,16.65414155
20.77,27.4938984,33.50934247,18.49414155
39.56,30.3638984,41.17934247,32.72414155
30.88,30.2938984,35.69934247,19.99414155
19.86,30.3538984,16.30934247,19.87414155
16.56,30.3938984,16.19934247,19.76414155
16.96,30.4038984,15.50934247,30.80414155
16.98,30.1538984,15.79934247,31.27414155
17.08,29.9738984,15.82934247,30.69414155
16.6,29.9738984,15.35934247,33.26414155
35.11,29.9738984,34.12934247,35.37414155
40.16,30.4538984,41.11934247,38.29414155
43.68,32.6638984,47.07934247,42.03414155
46.17,34.5638984,48.04934247,42.92414155
