Low,Bal,Wind,Solar
42.91389384,53.67,54.96861301,54.626879
42.19389384,53.12,54.51861301,54.466879
41.61389384,52.83,54.38861301,53.916879
42.86389384,53.01,54.30861301,54.196879
45.07389384,56.5,57.14861301,57.406879
50.69389384,60.02,61.31861301,60.906879
52.85389384,61.75,63.63861301,61.436879
49.12389384,56.36,61.35861301,54.666879
43.63389384,52.83,55.89861301,48.776879
42.42389384,50.9,54.33861301,41.956879
47.07389384,50.14,54.96861301,40.626879
47.63389384,51.09,56.47861301,41.036879
48.25389384,52.55,56.69861301,42.086879
47.61389384,52.56,55.89861301,48.006879
48.05389384,53.59,57.75861301,52.966879
52.54389384,61.53,63.47861301,62.116879
58.61389384,63.66,64.52861301,63.506879
58.00389384,63.69,64.98861301,63.616879
56.74389384,63.69,64.97861301,63.706879
54.66389384,63.44,64.81861301,63.386879
49.19389384,62.06,63.19861301,63.086879
44.24389384,56.58,57.79861301,61.486879
40.77389384,52.01,53.77861301,56.086879
42.53389384,53.87,54.83861301,56.086879
41.61389384,54.65,54.51861301,54.566879
40.77389384,53.19,53.77861301,53.966879
40.77389384,52.94,53.53861301,53.296879
41.96389384,53.22,54.10861301,53.496879
44.24389384,56.5,57.65861301,55.716879
49.19389384,62.4,63.82861301,62.436879
51.96389384,63.85,65.68861301,63.676879
48.61389384,62.18,63.81861301,62.646879
43.51389384,58.02,62.89861301,48.966879
48.67389384,49.06,63.05861301,43.136879
48.92389384,48.01,60.93861301,42.196879
47.86389384,48.02,57.79861301,37.386879
44.49389384,48.37,55.89861301,41.916879
44.24389384,49.77,55.89861301,48.556879
46.27389384,55.45,60.94861301,56.486879
52.72389384,63.68,64.95861301,63.956879
57.47389384,64.39,64.98861301,64.596879
58.37389384,65.09,67.00861301,65.536879
57.10389384,64.51,65.94861301,65.086879
54.52389384,63.69,64.98861301,64.426879
50.70389384,63,63.47861301,62.436879
45.03389384,60.37,59.31861301,57.526879
41.66389384,53.12,54.95861301,53.636879
42.20389384,51.64,53.04861301,53.896879
41.55389384,51.3,52.68861301,54.026879
40.55389384,50.04,51.13861301,52.796879
40.07389384,49.58,49.96861301,52.856879
40.77389384,50.01,49.73861301,53.216879
43.47389384,52.43,53.10861301,56.776879
49.81389384,61.54,60.65861301,63.086879
51.37389384,62.4,63.43861301,63.416879
47.07389384,54.15,53.10861301,54.516879
41.75389384,47.28,47.16861301,40.716879
40.95389384,47.16,51.23861301,31.696879
38.82389384,42.78,45.44861301,8.746878995
37.62389384,37.18,39.70861301,2.666878995
38.10389384,31.02,32.40861301,4.746878995
38.32389384,31.02,32.31861301,31.896879
39.56389384,38.87,41.69861301,38.946879
48.91389384,53.15,54.22861301,54.456879
56.74389384,56.62,57.65861301,58.746879
57.10389384,58.02,58.32861301,58.906879
56.74389384,56.62,57.16861301,58.906879
54.09389384,58.82,57.87861301,58.886879
49.41389384,56.36,55.94861301,58.906879
41.09389384,50.38,50.07861301,53.536879
38.90389384,45.64,42.96861301,49.346879
39.41389384,37.23,32.27861301,49.276879
39.84389384,30.98,32.27861301,46.376879
39.57389384,30.98,32.27861301,44.196879
39.79389384,30.98,32.27861301,43.736879
40.13389384,37.23,32.27861301,46.546879
43.28389384,47.17,49.96861301,50.756879
48.91389384,52.85,53.94861301,54.426879
50.70389384,49.87,46.89861301,53.556879
48.06389384,45.6,46.67861301,46.566879
40.60389384,31.02,32.30861301,31.916879
38.18389384,30.98,32.27861301,4.146878995
37.50389384,28.98,31.00861301,1.206878995
37.15389384,28.96,30.85861301,1.206878995
38.18389384,29.45,31.34861301,12.796879
38.18389384,30.98,32.27861301,31.886879
38.97389384,38,39.29861301,38.906879
47.84389384,52.85,53.88861301,53.836879
52.92389384,53.55,53.76861301,55.456879
52.72389384,56.46,54.84861301,55.876879
50.69389384,53.55,54.20861301,57.406879
49.19389384,53.92,54.41861301,57.486879
49.19389384,53.55,53.92861301,57.486879
45.11389384,51.09,51.32861301,54.716879
39.48389384,47.7,46.05861301,51.046879
39.02389384,38,38.47861301,47.726879
40.07389384,52.47,44.58861301,54.466879
39.32389384,50.14,39.29861301,53.796879
38.96389384,49.06,39.29861301,53.376879
39.48389384,50.14,39.29861301,53.236879
42.30389384,52.47,39.32861301,53.556879
44.96389384,53.29,46.89861301,54.286879
47.03389384,55.41,51.66861301,58.136879
48.60389384,45.42,44.58861301,51.046879
44.16389384,38.36,38.45861301,38.786879
42.27389384,37.08,38.50861301,29.836879
40.88389384,31.02,32.38861301,23.106879
39.48389384,29.75,32.27861301,29.986879
38.93389384,29.75,31.78861301,30.656879
39.32389384,33.59,32.41861301,37.176879
40.60389384,46.32,48.73861301,47.926879
48.64389384,58.27,58.97861301,57.406879
50.09389384,63.68,64.98861301,63.496879
52.17389384,64.2,65.54861301,64.426879
51.86389384,63.78,64.97861301,63.816879
50.28389384,63.63,64.10861301,63.086879
49.41389384,61.86,62.71861301,62.206879
46.92389384,58.42,58.45861301,59.156879
39.84389384,52.36,51.02861301,53.556879
38.91389384,49.59,49.30861301,51.916879
42.46389384,56.01,56.91861301,56.776879
40.68389384,55.4,53.76861301,56.356879
40.62389384,53.12,50.28861301,56.086879
40.68389384,52.47,46.89861301,56.086879
42.41389384,52.47,48.55861301,56.306879
45.03389384,52.65,48.85861301,57.406879
48.91389384,53.29,50.28861301,57.936879
41.55389384,48.03,46.63861301,49.966879
40.04389384,8.4,22.24861301,4.146878995
38.90389384,0.33,13.89861301,1.186878995
38.10389384,0.29,16.09861301,1.186878995
37.36389384,0.31,30.25861301,1.186878995
37.15389384,1.46,30.58861301,1.186878995
37.81389384,36.27,43.01861301,1.216878995
38.90389384,49.58,50.89861301,47.996879
46.37389384,53.27,54.38861301,54.826879
49.19389384,63.63,64.37861301,63.666879
51.80389384,63.69,65.55861301,64.596879
51.15389384,63.69,64.98861301,64.556879
50.41389384,63.63,63.92861301,63.086879
48.18389384,62.57,63.47861301,62.746879
41.23389384,57.88,57.57861301,57.186879
38.18389384,52.65,53.40861301,53.376879
36.99389384,48.01,47.77861301,51.036879
36.17389384,47.1,46.72861301,49.996879
36.17389384,48.02,48.11861301,49.386879
36.43389384,49.62,49.49861301,49.996879
36.93389384,50.14,50.91861301,50.056879
39.48389384,55.4,55.10861301,55.506879
50.45389384,64.27,65.61861301,64.566879
52.96389384,64.33,65.75861301,64.216879
49.98389384,58.29,57.46861301,56.036879
49.54389384,51.29,53.77861301,50.506879
47.52389384,46.82,49.99861301,41.526879
41.82389384,42.24,44.85861301,12.886879
39.80389384,40.24,44.85861301,13.136879
39.57389384,41.76,44.85861301,28.956879
40.07389384,47.24,50.01861301,40.636879
43.37389384,49.57,51.56861301,48.916879
51.91389384,56.44,57.97861301,58.026879
52.74389384,62.16,60.83861301,63.086879
55.75389384,62.18,64.60861301,63.436879
55.82389384,63.63,64.98861301,64.346879
54.06389384,63.68,64.95861301,63.876879
50.70389384,62.16,61.66861301,59.996879
42.19389384,57.96,56.74861301,56.356879
39.02389384,52.47,53.22861301,52.796879
38.93389384,53.03,53.73861301,53.396879
39.41389384,51.29,53.76861301,53.996879
39.32389384,51.17,53.60861301,53.376879
39.02389384,51.17,53.48861301,53.256879
39.92389384,51.81,54.12861301,53.466879
43.51389384,53.76,56.84861301,56.356879
51.24389384,62.18,64.81861301,62.506879
53.75389384,63.08,65.80861301,63.086879
49.19389384,61.03,59.79861301,57.526879
48.02389384,50.63,52.38861301,42.576879
45.19389384,48.42,51.67861301,29.926879
40.02389384,42.29,45.45861301,2.706878995
39.95389384,40.41,45.63861301,1.516878995
39.56389384,43.56,48.36861301,6.326878995
40.13389384,48.01,49.77861301,40.326879
42.42389384,51.67,53.04861301,52.046879
49.10389384,57.73,58.01861301,57.626879
55.96389384,63.69,64.98861301,64.536879
56.74389384,64.55,66.19861301,65.096879
56.71389384,64.37,65.92861301,64.766879
54.51389384,63.08,64.97861301,63.366879
49.91389384,56.62,58.52861301,57.626879
42.19389384,50.44,54.10861301,53.536879
40.13389384,48.39,51.43861301,51.096879
39.02389384,48.25,50.07861301,50.716879
38.77389384,42.83,46.04861301,49.156879
38.27389384,41.32,42.43861301,48.206879
38.29389384,42.29,45.68861301,48.916879
38.90389384,45.42,48.72861301,49.816879
41.26389384,49.62,52.36861301,52.256879
49.98389384,53.99,55.05861301,55.246879
52.20389384,56.46,57.79861301,56.426879
43.51389384,52.47,53.18861301,52.626879
38.00389384,48.53,49.03861301,38.086879
38.85389384,40.39,44.85861301,7.676878995
36.80389384,29.08,38.47861301,1.236878995
36.09389384,15.76,32.31861301,1.216878995
36.07389384,15.76,32.27861301,2.516878995
36.10389384,30.98,32.27861301,22.266879
38.10389384,34.38,32.30861301,38.086879
41.61389384,51.36,51.11861301,53.306879
51.05389384,53.09,54.12861301,55.396879
54.07389384,53.12,52.40861301,55.386879
53.28389384,51.09,51.45861301,54.896879
52.16389384,50.37,51.14861301,54.026879
48.48389384,52.47,54.41861301,55.386879
41.26389384,50.14,52.46861301,52.076879
38.93389384,46.82,49.70861301,49.516879
39.25389384,45.66,49.86861301,49.966879
38.77389384,50.14,51.43861301,49.426879
38.40389384,49.77,51.43861301,48.206879
38.73389384,48.8,49.94861301,48.206879
39.02389384,48.65,48.39861301,48.646879
41.96389384,50.37,50.38861301,50.776879
48.81389384,50.27,52.30861301,51.276879
51.80389384,49.09,50.38861301,50.776879
47.07389384,41.73,41.53861301,42.146879
41.86389384,31.02,32.30861301,15.296879
39.77389384,17.82,32.31861301,1.196878995
37.35389384,3.18,30.89861301,1.186878995
36.60389384,5.11,31.17861301,1.186878995
35.93389384,21.53,32.27861301,1.196878995
36.51389384,30.98,32.27861301,31.886879
38.79389384,38,39.29861301,38.086879
42.81389384,51.86,53.76861301,53.476879
52.92389384,56.08,57.79861301,56.426879
55.95389384,57.71,60.25861301,57.746879
54.56389384,57.2,60.20861301,57.406879
52.96389384,57.03,56.10861301,56.426879
49.19389384,56.5,56.10861301,56.256879
40.88389384,52.47,51.43861301,52.966879
38.76389384,48.61,49.98861301,49.966879
40.74389384,50.07,49.71861301,50.976879
40.05389384,49.77,49.30861301,51.276879
39.79389384,48.67,48.59861301,51.096879
39.84389384,48.8,48.59861301,51.196879
40.02389384,49.56,49.96861301,51.436879
42.80389384,50.86,52.38861301,53.556879
50.43389384,57.04,57.79861301,58.256879
53.75389384,58.55,61.26861301,58.036879
49.19389384,53.76,53.96861301,54.466879
43.63389384,49.83,50.89861301,42.576879
43.63389384,48.4,50.89861301,24.116879
44.98389384,41.77,51.93861301,6.726878995
44.25389384,43.56,49.42861301,7.056878995
44.41389384,46.73,51.60861301,24.516879
46.37389384,49.55,53.64861301,45.286879
48.01389384,49.81,53.76861301,50.416879
50.54389384,56.2,62.01861301,54.826879
57.21389384,60.37,63.19861301,57.936879
56.93389384,61.1,63.47861301,59.926879
55.91389384,59.82,62.36861301,58.886879
55.38389384,59.09,61.43861301,57.286879
51.04389384,57.98,58.32861301,57.366879
47.07389384,55.76,54.58861301,56.076879
40.07389384,49.94,49.70861301,51.076879
43.23389384,50.07,49.30861301,50.976879
43.04389384,53.67,48.11861301,54.186879
42.56389384,52.83,44.58861301,53.556879
42.22389384,51.17,41.12861301,52.716879
42.30389384,50.4,39.29861301,51.766879
43.47389384,48.72,39.29861301,51.036879
46.89389384,46.73,39.29861301,51.996879
49.04389384,38.04,32.31861301,43.196879
43.51389384,30.98,32.27861301,31.916879
48.12389384,31.01,26.64861301,18.716879
42.88389384,31,32.31861301,2.996878995
39.07389384,17.78,32.30861301,1.206878995
37.54389384,30.98,32.31861301,1.206878995
38.10389384,31.01,39.33861301,4.776878995
42.20389384,37.85,49.30861301,31.916879
43.63389384,43.29,51.10861301,38.086879
50.45389384,52.4,53.22861301,52.966879
52.96389384,53.29,54.30861301,54.426879
55.68389384,56.73,57.81861301,55.986879
53.87389384,57.03,59.31861301,54.716879
52.58389384,55.35,56.74861301,54.026879
49.73389384,52.47,53.19861301,53.656879
47.38389384,50.27,50.62861301,51.306879
42.56389384,48.41,48.55861301,49.906879
40.67389384,49.33,50.07861301,51.076879
44.04389384,58.44,56.64861301,60.266879
43.47389384,56.5,55.23861301,57.486879
42.56389384,55.41,54.22861301,54.846879
42.42389384,53.18,53.88861301,54.096879
43.51389384,53.18,54.35861301,54.576879
45.07389384,54.49,55.01861301,56.776879
49.19389384,55.45,56.47861301,56.316879
49.73389384,50.4,52.38861301,45.656879
50.09389384,50.37,52.94861301,43.196879
50.69389384,51.89,53.65861301,38.616879
50.62389384,52.33,53.88861301,22.196879
49.06389384,49.58,54.47861301,8.116878995
49.51389384,51.09,55.01861301,17.046879
50.17389384,51.77,55.05861301,38.846879
50.09389384,52.35,53.85861301,52.296879
50.09389384,53.66,54.58861301,53.456879
51.84389384,57.44,56.81861301,56.486879
55.81389384,61.17,62.92861301,59.956879
55.84389384,61.74,63.47861301,60.596879
55.25389384,62.18,63.47861301,60.966879
51.84389384,61.03,61.35861301,59.956879
46.97389384,53.01,53.64861301,54.576879
41.61389384,49.06,49.23861301,52.666879
43.51389384,51.09,51.38861301,53.216879
42.28389384,49.5,49.05861301,52.796879
41.77389384,50,50.26861301,52.686879
41.75389384,48.48,47.85861301,52.296879
43.17389384,48.99,44.17861301,52.576879
48.04389384,49.8,43.24861301,53.376879
52.96389384,53.29,49.50861301,57.936879
54.29389384,56.5,52.57861301,57.526879
50.69389384,48.78,42.68861301,51.176879
44.24389384,34.89,35.63861301,16.166879
43.21389384,18,33.29861301,1.206878995
39.13389384,3.88,33.29861301,1.196878995
43.38389384,6.26,34.02861301,1.196878995
39.13389384,4.17,27.24861301,1.196878995
44.26389384,12.42,31.60861301,1.246878995
49.73389384,38.93,37.33861301,44.276879
52.30389384,51.16,45.55861301,55.046879
56.84389384,56.62,48.96861301,61.906879
58.88389384,56,47.84861301,63.916879
58.66389384,55.01,45.75861301,63.986879
56.90389384,53.48,44.92861301,63.486879
55.78389384,51.81,44.03861301,63.666879
50.70389384,48.14,41.01861301,56.666879
42.27389384,44.77,35.51861301,51.176879
48.23389384,45.6,36.41861301,53.376879
47.45389384,49.75,38.41861301,54.676879
46.05389384,49.13,40.53861301,54.466879
44.88389384,49.9,36.25861301,54.196879
46.66389384,50.14,25.08861301,54.526879
50.49389384,56.5,43.06861301,58.696879
55.48389384,49.87,48.95861301,63.086879
56.74389384,49.49,48.18861301,56.526879
44.66389384,39.74,32.76861301,43.656879
37.61389384,7.5,16.55861301,8.976878995
38.10389384,0.35,17.00861301,1.196878995
37.04389384,0.26,16.25861301,1.186878995
38.00389384,0.26,27.81861301,1.186878995
41.34389384,2.09,31.78861301,1.196878995
43.51389384,29.45,37.41861301,3.596878995
46.29389384,45.81,49.52861301,47.466879
52.35389384,51.76,53.92861301,53.336879
55.57389384,57.44,57.79861301,57.186879
58.75389384,61.38,63.47861301,62.096879
58.20389384,58.17,58.08861301,58.136879
56.96389384,57.49,53.59861301,57.186879
54.70389384,53.51,52.38861301,54.096879
47.03389384,49.87,50.38861301,51.996879
39.79389384,48.37,47.57861301,50.376879
43.73389384,50.37,48.09861301,53.556879
42.22389384,51.9,48.46861301,52.966879
42.41389384,51.17,49.28861301,52.186879
43.46389384,51.9,51.42861301,51.996879
47.86389384,52.47,50.47861301,54.196879
51.06389384,53.76,53.69861301,54.566879
54.75389384,57.75,52.25861301,58.966879
54.51389384,51.48,51.12861301,54.846879
44.66389384,48.19,49.69861301,49.316879
37.54389384,40.71,49.69861301,11.666879
37.51389384,39.42,51.36861301,8.856878995
40.95389384,41.46,52.46861301,8.166878995
36.99389384,14.44,43.26861301,1.236878995
38.18389384,37.53,41.11861301,1.696878995
37.54389384,31.12,40.71861301,14.346879
40.95389384,38.12,41.56861301,38.976879
47.03389384,48.66,51.60861301,49.426879
54.65389384,56.46,55.23861301,54.736879
58.99389384,60.1,59.35861301,59.586879
58.75389384,60.76,63.47861301,61.036879
58.52389384,60.1,61.26861301,60.986879
55.94389384,59.95,60.51861301,61.036879
50.09389384,57.98,56.11861301,56.356879
42.20389384,52.47,52.05861301,53.456879
46.55389384,52.01,52.59861301,53.556879
44.24389384,51.78,52.55861301,52.826879
43.94389384,51.75,52.45861301,52.666879
43.94389384,51.81,51.89861301,52.856879
45.88389384,52.12,52.38861301,53.916879
49.19389384,55.52,55.21861301,55.506879
52.96389384,57.4,55.42861301,56.786879
54.84389384,55.41,55.89861301,55.436879
43.51389384,48.4,51.12861301,49.516879
38.77389384,39.42,43.06861301,40.326879
36.77389384,7.9,32.42861301,1.196878995
35.74389384,0.3,30.85861301,1.186878995
35.43389384,0.29,30.84861301,1.186878995
39.20389384,0.31,30.85861301,1.186878995
37.71389384,5.11,32.27861301,1.186878995
40.04389384,30.98,36.35861301,31.886879
49.61389384,43.29,44.58861301,47.896879
55.25389384,49.47,49.73861301,51.096879
58.88389384,51.09,50.56861301,53.196879
58.20389384,51.81,51.09861301,57.506879
56.74389384,51.62,50.80861301,54.156879
53.87389384,50.19,50.02861301,51.996879
49.19389384,48.02,46.68861301,51.176879
42.19389384,40.75,35.75861301,46.326879
43.69389384,41.77,32.38861301,48.916879
44.78389384,45.42,38.50861301,51.036879
44.24389384,45.34,39.69861301,51.996879
44.54389384,50.14,48.07861301,53.166879
45.03389384,49.08,38.47861301,51.996879
48.12389384,55.85,54.58861301,56.696879
50.41389384,62.18,60.52861301,63.266879
51.84389384,63.4,63.47861301,64.596879
37.38389384,50.14,49.19861301,51.996879
37.04389384,41.77,48.11861301,39.166879
35.62389384,23.88,39.71861301,3.676878995
35.38389384,3.25,29.57861301,1.206878995
35.00389384,0.31,23.64861301,1.186878995
38.40389384,0.31,21.27861301,1.186878995
37.93389384,20.94,32.31861301,1.216878995
40.82389384,38.26,39.25861301,39.166879
49.61389384,51.21,51.43861301,53.496879
55.02389384,56.5,56.03861301,60.926879
55.96389384,56.93,57.06861301,59.786879
55.74389384,56.79,58.22861301,59.786879
54.70389384,55.19,56.60861301,58.036879
51.65389384,54.83,53.66861301,59.586879
46.87389384,49.92,47.98861301,53.576879
40.05389384,45.38,41.12861301,46.856879
41.09389384,40.32,39.43861301,48.076879
43.63389384,48.02,41.71861301,54.196879
41.82389384,41.73,39.29861301,52.626879
41.23389384,40.42,39.29861301,51.436879
41.86389384,43.29,39.29861301,51.996879
42.46389384,46.56,42.53861301,52.626879
46.47389384,50.34,43.06861301,53.736879
47.94389384,41.77,39.33861301,48.916879
49.45389384,38.04,39.33861301,39.006879
49.98389384,30.98,29.05861301,31.886879
42.42389384,8.4,26.62861301,1.216878995
40.82389384,0.34,23.79861301,1.186878995
37.15389384,0.29,7.458613014,1.186878995
36.07389384,0.29,3.208613014,1.186878995
37.15389384,0.29,5.188613014,1.186878995
41.09389384,30.98,32.27861301,31.886879
48.22389384,41.32,39.33861301,47.576879
50.70389384,46.73,44.58861301,49.406879
54.06389384,47.87,47.29861301,49.316879
52.91389384,48.56,47.46861301,50.636879
50.84389384,49.15,47.34861301,50.706879
44.92389384,46.93,43.73861301,49.896879
40.05389384,44.63,41.16861301,47.636879
37.77389384,41.76,39.39861301,44.736879
37.18389384,31.02,13.67861301,38.086879
47.86389384,25.82,13.67861301,46.286879
43.51389384,25.66,15.12861301,42.146879
40.57389384,21.14,11.51861301,38.136879
40.67389384,23.89,12.90861301,39.036879
42.28389384,31,17.03861301,39.166879
45.03389384,38.36,32.41861301,51.996879
48.67389384,37.51,25.24861301,48.916879
47.95389384,3.86,12.36861301,11.216879
38.71389384,0.26,6.768613014,1.186878995
33.09389384,0.24,1.428613014,1.186878995
26.17389384,0.24,1.428613014,1.186878995
25.34389384,0.24,1.438613014,1.186878995
25.80389384,0.24,1.448613014,1.186878995
33.68389384,0.25,1.528613014,1.186878995
40.02389384,0.28,1.578613014,1.196878995
46.46389384,48.99,50.35861301,51.046879
50.62389384,53.76,56.84861301,55.646879
54.18389384,56.91,57.91861301,58.966879
54.56389384,57.3,54.92861301,59.106879
52.96389384,51.1,49.69861301,56.876879
49.81389384,48.42,42.47861301,54.176879
40.95389384,41.73,13.81861301,49.326879
37.08389384,38.79,9.748613014,46.246879
36.80389384,37.18,12.23861301,44.196879
36.10389384,41.9,12.99861301,44.196879
36.09389384,39.83,19.69861301,42.046879
36.10389384,37.18,12.23861301,39.306879
36.63389384,38.09,11.39861301,41.196879
37.54389384,44.11,29.02861301,48.916879
44.48389384,52.65,49.27861301,52.506879
46.69389384,52.06,50.38861301,53.376879
46.14389384,41.43,35.16861301,46.546879
47.22389384,21.36,38.45861301,9.006878995
41.89389384,0.3,6.448613014,1.186878995
40.46389384,0.28,1.598613014,1.186878995
38.95389384,0.28,1.588613014,1.186878995
